Leftcontext	Match	Rightcontext	Measurecase	Kindlemma	Kindgender	Kindcase	Kindfreq	Measurelemma	Measuregender	Measurenumber	Measureclass	Measurefreq	Minus1pos	Genitives	Badness	Url	Originalsort
Ich esse das lieber ohne Soße , zerlasse Butter auf kleiner Flamme , füge Semmelbrösel dazu , leicht anbräunen und zuletzt Petersilie drunter , alles über den Blumenkohl schütten ,	Stück frisches Brot	dazu , fertig .	Nom	Brot	Neut	Nomacc	4.4563629961	Stück	Neut	Sg	Amount	5.342022946	$,	7	5	http://forum.ksgemeinde.de/archive/index.php/t-44722-p-46.html	1140
Mysteriöse Drohsendungen erreichen die Luxusvilla des steinreichen Hollywoodschauspielers Channing Manheim : Schnecken , Käfer ,	Stücke menschlicher Haut	, ein Apfel mit einem Puppenauge im Innern .	Nom	Haut	Fem	Obl	4.7968475891	Stück	Neut	Pl	Amount	5.342022946	$,	4	2	http://www.saitenforum.de/board/archive/index.php/t-2952.html	1345
es folgten bis zum Mai 1948 weitere 18 000	Kisten neuen Geldes	.	Nom	Geld	Neut	Gen	5.4468172867	Kiste	Fem	Pl	Vessel	4.3444551534	Card	1	5	http://www.hausarbeiten.de/faecher/vorschau/104487.html	1485
Das heißt , dass dort 150 000	Kubikmeter vergifteter Abfall	im Gazastreifen vergraben liegt , was eine Katastrophe ist .	Nom	Abfall	Masc	?	4.1374300746	Kubikmeter	Masc	Pl	Capacity	3.7249309142	Card	2	4	http://www.arendt-art.de/deutsch/palestina/Stimmen_international/dimona_reaktor_geheimniss_bedrohung.htm	1753
Pannenserie im Kraftwerk Farge geht weiter Angeblich wurden 850 000	Tonnen hochbelasteter Abfall	vergraben : Aschedeponie am Kraftwerk in Bremen-Farge Gefahren der offenen Kohlelagerung !	Nom	Abfall	Masc	Nom	4.1374300746	Tonne	Fem	Pl	Weight	4.4352549304	Card	6	1	http://www.kwk-forum.de/board96-nachrichten/753-kraftwerke-verursachen-probleme-und-%C3%A4rger/	1755
Auf Deutschland bezogen haben wir bisher rund 14 000	Tonnen hochradioaktiven Abfall	angesammelt , der für mindestens 100 000 Jahre " sicher " gelagert werden muss , bis die Radioaktivität durch den natürlichen Zerfall entsprechend abgeklungen ist .	Acc	Abfall	Masc	Acc	4.1374300746	Tonne	Fem	Pl	Weight	4.4352549304	Card	1	4	http://www.spektrum.de/alias/pro-transmutation/ein-lichtblick-im-dunkel-der-endlagerung/1181794	1806
Im Frühjahr 2005 verlor in Sellafield die zentrale Wiederaufbereitungsanalge gut 100 000	Liter hochradioaktiver Flüssigkeit	ohne dass dies über Wochen hinweg bemerkt worden wäre .	Acc	Flüssigkeit	Fem	Obl	4.1565854924	Liter	Masc	Pl	Capacity	4.5919990046	Card	2	4	http://www.az-wuppertal.de/2005/10/23/castor-stoppen/	2090
" Verbraucht ein Haus im Jahr 3000 Liter Heizöl , entspricht dies 30 000	Kilowattstunden elektrischer Energie	" , sagt Möller .	Dat	Energie	Fem	Obl	5.0634759733	Kilowattstunde	Fem	Pl	Physical	3.5093638402	Card	6	7	http://www.heizoel-herget.de/wissen_energie1.htm	2281
Kaum jemand aber weiß , dass mit dem Export eines in Spanien hergestellten Mittelklasseautos weit mehr als 100 000	Liter virtuelles Wasser	exportiert werden .	Nom	Wasser	Neut	Nomacc	5.3507432968	Liter	Masc	Pl	Capacity	4.5919990046	Card	4	6	http://klima-und-umwelt.birdfish.de/2009/03/22/virtuelles-wasser-die-unsichtbare-verschwendung/	2516
Für Frühstück war es jedenfalls zu spät , also Kurzdusche ,	Schluck lauwarmes Wasser	, Zigarette und los !	Nom	Wasser	Neut	Nomacc	5.3507432968	Schluck	Masc	Sg	Portion	2.9716468821	$,	6	1	http://www.frankies-satirewelt.de/reisen.html	2520
" Der Bolschewist " , eine Zeitung der kommunistischen Partei in Kiew , prahlte am 28. Februar 1923 , dass 16 000	Tonnen ukrainisches Getreide	in Hamburg angekommen sei und eine Woche später informierte diese Zeitung seine Leser über Hungertote in Nikolajew .	Nom	Getreide	Neut	Nomacc	3.8998861339	Tonne	Fem	Pl	Weight	4.4352549304	Card	1	2	http://www.guewalter.de/misc.html	2804
Pro Jahr kann das Heizkraftwerk aus rund 20 000	Tonnen verbranntem Holz	neun Millionen Kilowattstunden Strom erzeugen .	Dat	Holz	Neut	Dat	4.6781194097	Tonne	Fem	Pl	Weight	4.4352549304	Card	2	2	http://www.freiburg-schwarzwald.de/littenweiler/buchenbach1.htm	2847
Unterm Strich : 10 000	Quadratmeter unbrauchbares Glas	.	Nom	Glas	Neut	Nomacc	4.5971047584	Quadratmeter	Masc	Pl	Square	4.3661987474	Card	7	6	http://www.dkp-online.de/vorOrt/sachsen/leipzig/39490602.htm	2980
Die PCK Raffinerie GmbH verarbeitet bereits jetzt mehr als 150 000	Liter reinen Alkohols	täglich in den Raffinerieanlagen .	Acc	Alkohol	Masc	Gen	4.4816174578	Liter	Masc	Pl	Capacity	4.5919990046	Card	1	4	http://www.pck.de/presse_archiv_2005.html	3123
Beim Bau der Müllverbrennungsanlage in Newhaven entsorgte und recycelte die Gesellschaft beispielsweise zirka 10 000	Kubikmeter kontaminierter Erde	.	Acc	Erde	Fem	Obl	4.9589249285	Kubikmeter	Masc	Pl	Capacity	3.7249309142	Card	2	5	http://www.berichte.hochtief.de/nb11/58.jhtml	3190
Klingl sprach auch die Belastung der Anwohner durch den Abtransport von 30 000	Kubikmeter belastete Erde	und die Lieferung des Kieses für die Geländemodulation an .	Dat	Erde	Fem	Str	4.9589249285	Kubikmeter	Masc	Pl	Capacity	3.7249309142	Card	4	2	http://blog.fwg-utting.de/page/49/	3260
Als Freigrenzen sollen selbstgenutztes Wohneigentum bis zu 300 000 Mark je Haushalt sowie pro Person 200 000	Mark anderes Vermögen	gelten .	Nom	Vermögen	Neut	Nomacc	4.3378025676	Mark	Fem	Pl	Currency	4.631490443	Card	2	2	http://www.global.hs-mittweida.de/~sa-arc/archiv/ch_99/polit/Jahr1999/oktober_1999.htm	3366
Die Bielefelder Sparkasse enthielt einer Kundin , die seit Jahren dort treu und gutgläubig ihr Geld verwalten ließ , die Auszahlung eines Teil des rund 250 000	Euro umfassenden Vermögens	vor .	False	Vermögen	Neut	Gen	4.3378025676	Euro	Masc	Pl	Currency	5.6030293397	Card	3	4	http://www.magazin66.de/2011/04/abzocke-von-senioren/	3375
Der Pächter der Burgschänke und Besitzer des ersten Bio-Hotels in Sachsen brachte mit 50 000	Euro eigenes Vermögen	in die Stiftung .	False	Vermögen	Neut	Nomacc	4.3378025676	Euro	Masc	Pl	Currency	5.6030293397	Card	2	5	http://www.naumburger-tageblatt.de/burgenland-journal/ausstellung-mehr-als-pling-und-klirr,20691012,27046308.html	3384
Aufwandbesteuerung Die Bestimmungen zur Aufwandbesteuerung werden präzisiert und verschärft ; die Mindestbemessungs - grundlagen werden auf 588 000 Franken steuerbares Einkommen und 11 760 000	Franken steuerbares Vermögen	erhöht .	Acc	Vermögen	Neut	Nomacc	4.3378025676	Franke	Masc	Pl	Currency	4.2910267866	Card	2	6	http://www.zg.ch/behoerden/finanzdirektion/direktionssekretariat/aktuell/eroeffnung-vernehmlassung-aenderung-steuergesetz-5-teilrevision	3402
Sie liegen jedoch in der Regel zwischen 100. 000 € und 1. 000. S. 000	€ liquidem Vermögen	.	Dat	Vermögen	Neut	Dat	4.3378025676	€	Masc	Pl	Currency	5.4850254302	Card	5	7	http://web4640.server74.greatnet.de/bc/private_bank.html	3414
Das heisst du steckst 1 Million € Schwarzgeld vorne rein und hinten kommen 75 000	€ Saubere Wäsche	raus , nachdem er dieses dann denen erklärt hatte , hat der Einsatzleiter die Durchsuchung abgebrochen und sie zogen alle wieder vom Acker .	Nom	Wäsche	Fem	Str	3.9440382801	€	Masc	Pl	Currency	5.4850254302	Card	6	4	http://www.dsds-portal.de/laberecke-2010-t2101-s105.html	3681
Gründliche Endreinigung durch die Mieter oder gegen Bezahlung ,	EUR 80. Wäsche	: Bettwäsche vorhanden .	False	Wäsche	Fem	Str	3.9440382801	€	Masc	Pl	Currency	5.4850254302	$,	6	7	http://m.e-domizil.ch/ferienwohnung/266998/res-michelangelo-resort-lido-di-spina-adria-emilia-romagna-emilia-romagna-italien/	3720
Mit der zentralen Schachtanlage 12 wurde Zollverein seinerzeit das modernste Bergwerk Europas und die größte Zeche im Ruhrgebiet , die eine Tagesförderung von ca. 12 000	t verwertbarer Kohle	pro Tag aufweisen konnte .	Dat	Kohle	Fem	Obl	4.2878017299	t	Fem	Pl	Weight	4.58984241	Card	1	4	http://www.schacht12.de/small/zollmain2.htm	3758
Fast schon sureale Farbverfremdungen ,	Liter gezeichneten Blutes	, hervoragend choreographierte schlachtszenen und die völlige Überhöhung  Überzeichnung der Helden bzw. der Gegner machen die Verfilmung aus .	Nom	Blut	Neut	Gen	4.7108431222	Liter	Masc	Sg	Capacity	4.5919990046	$,	5	1	http://www.dvdboard.de/forum/archive/index.php/t-58471-p-40.html	3918
Selbst in der Schweiz werden jedes Jahr gegen 1 ' 500 ' 000	Tonnen einheimischer Schrott	professionell verarbeitet .	Nom	Schrott	Masc	Nom	3.8544153609	Tonne	Fem	Pl	Weight	4.4352549304	Card	3	7	http://www.vsmr.ch/de/themen?login	3963
Mit dieser " CARLA " genannten Schmelzanlage in Krefeld wurden seitdem mehr als 20 000	Tonnen kontaminierter Schrott	aus Brennelemente-Fabriken , Uran-Anreicherungsanlagen und kerntechnischen Anlagen im In - und Ausland umgeschmolzen .	Nom	Schrott	Masc	Nom	3.8544153609	Tonne	Fem	Pl	Weight	4.4352549304	Card	5	4	http://www.die-linke-kreiskleve.de/kreiskleve/buendnisse/atomfreies_geldern/	3967
Das Seewasserwerk Ipsach ist der Hauptbezugsort des Bieler Trinkwassers 5 000	Liter erstklassiges Trinkwasser	fliessen von hier aus jede Minute durch ein 80 Zentimeter dickes Rohr nach Biel und Nidau .	Nom	Trinkwasser	Neut	Nomacc	3.9227047027	Liter	Masc	Pl	Capacity	4.5919990046	Card	2	6	http://www.esb.ch/de/ueber-uns/projekte-events/besichtigungen/	4113
Etwa 15 000	Tonnen geschredderter Beton	werden iuf dem Gelände als Unterbau für die Straßen und Wege verwendet .	Nom	Beton	Masc	Nom	3.8614268693	Tonne	Fem	Pl	Weight	4.4352549304	Card	5	3	http://www.schulen.ostprignitz.de/heinrich_rau_schule/regional/h/rh_hdorf/sprengen/tot.htm	4329
Auf über 9 000	Quadratmeter kugelgestrahlten Beton	muss das Spezialgewebe aufgeklebt werden , eine Art Luxus-Dachpappe , die das Wasser fernhält .	Acc	Beton	Masc	Acc	3.8614268693	Quadratmeter	Masc	Pl	Square	4.3661987474	Card	3	6	http://www.autobahn17.de/presse/presse4/010821.htm	4340
Hierzu gehörten über 300 Zelte , 7000 Isomatten , 8000 Decken , Schlafsäcke , Winterschuhe ,	Tonnen warmer Kleidung	sowie Medikamente und Impfstoffe .	Nom	Kleidung	Fem	Obl	4.4366587002	Tonne	Fem	Pl	Weight	4.4352549304	$,	4	2	http://www.humanity-care-stiftung.de/presse/archiv-ordner/hcs-hilft-im-erdbebengebiet-in-pakistan.html	4394
Kartoffel - Lauch - Auflauf 1 kg mehlige Kartoffeln , 2 Stangen Lauch in feine Ringe geschnitten , 200 g Sahne , 200 gSchmand , Salz , Pfeffer , Muskat , Streuwürze , 2 00	g geriebener Käse	Kartoffeln kochen , abkühlen lassen , schälen und in Scheiben schneiden .	Nom	Käse	Masc	Nom	4.1164549836	g	Neut	Pl	Weight	4.7338534288	Card	7	9	http://forum.kochen-und-geniessen.de/koch-club-f1/auflaeufe-mit-gemuese-t7767-s105.html	4652
Frühstückskarte : Kräuterrührei mit Pilzen und Toast , Spiegelei mit Schinkenspeck , Butter , Brot , Omelett mit feinem Würzfleisch gefüllt , 1 Doppelsemmel , 2 Scheiben Brot , 20 g Butter , 1 gekochtes Ei , Portion Salami , Portion Frühstücksschinken ,	Portion gemischter Käse	, Portion Marmelade oder Honig , Getränke bestellen Sie bitte nach Karte .	Nom	Käse	Masc	Nom	4.1164549836	Portion	Fem	Sg	Portion	4.0785800561	$,	3	6	http://golfurlaub-aktivurlaub.de/worte.htm	4687
Frühstückskarte : Kräuterrührei mit Pilzen und Toast , Spiegelei mit Schinkenspeck , Butter , Brot , Omelett mit feinem Würzfleisch gefüllt , 1 Doppelsemmel , 2 Scheiben Brot , 20 g Butter , 1 gekochtes Ei , Portion Salami , Portion Frühstücksschinken ,	Portion gemischter Käse	, Portion Marmelade oder Honig , Getränke bestellen Sie bitte nach Karte .	Nom	Käse	Masc	Nom	4.1164549836	Portion	Fem	Sg	Portion	4.0785800561	$,	4	3	http://waldhaus-klesz.de/ausflugsziele-lausitz/maerchen-sagen-legenden-sachsen-lausitz/budissin-stein-markt-koenig-wenzel.htm	4716
Olivenöl , 4 EL Sonnenblumenöl , 1 Messerspitze voll Rosmarinnadeln , 4 EL Kräuter d. Provence ,	Prise schwarzer Pfeffer	.	Nom	Pfeffer	Masc	Nom	3.9929156471	Prise	Fem	Sg	Portion	3.4999343951	$,	7	4	http://www.klabautermaenneken.de/t202f51-Was-gibt-es-heute-3.html	4877
Insgesamt 150 000	Tonnen verseuchtes Futter	ist in Umlauf gekommen .	Nom	Futter	Neut	Nomacc	4.4272328591	Tonne	Fem	Pl	Weight	4.4352549304	Card	3	4	http://www.gruene-fraktion-bayern.de/themen/chronik-des-skandals	5570
seit 2005 insgesamt 3 000	Tonnen konventionelles Futter	gekauft und zumindest zum Teil an Tiere verfüttert hat , die später als Biogeflügel auf den Markt kamen .	Acc	Futter	Neut	Nomacc	4.4272328591	Tonne	Fem	Pl	Weight	4.4352549304	Card	5	5	http://www.schrotundkorn.de/2009/200905b04.php	5626
Das ist ein Schatz , aus dem ich immer schöpfe , da gibt es Perlen zu entdecken ,	Kisten voller Gold	: Yavuz Turgul , Yilmaz Güney ...	False	Gold	Neut	?	4.6218635438	Kiste	Fem	Pl	Vessel	4.3444551534	$,	7	2	http://cms.ifa.de/index.php?id=akin%26L	5850
Ich bleib dabei , vernünftiges Öl , wenigstens DELO ausm Louis oder sowas , und nicht ATU oder Baumarkt Öl , und alle 4 000	km neues Öl	..	False	Öl	Neut	Nomacc	4.6270400135	km	Masc	Pl	Length	5.1762371575	Card	5	6	http://forum.gs-500.de/archive/index.php/t-1408.html	6537
Klarer Konstruktionsfehler ... die 0,0001	gramm extra Plastik	sollten wohl nicht zu teuer gewesen sein .	False	Plastik	Neut	?	3.9275551299	Gramm	Neut	Pl	Weight	4.1892825213	Card	7	5	http://www.mobi-forum.de/handys-smartphones/fragen-probleme-zum-glofiish-m800/699-m800-geht-einfach-aus/	5319
Also , diese Creme ist sehr ergiebig - eine ca. 1 cm lange , ca. 0,1	cm dicke Wurst	reicht für beide Hände .	False	Wurst	Fem	Str	3.9692481267	cm	Masc	Pl	Capacity	5.0287729007	Card	6	5	http://www.q-test.de/rissige-haende-das-muss-nicht-sein-test-11289-008-032.html	3494
Mit kleinen Arbeiten an der Antenne ( Isolatoren aus Weißleim und eine aus 0,1	mm dünnem Draht	gedrehte Spannfeder an der hinteren Aufhängung ) schloss ich die Detaillierung des Modells ab .	False	Draht	Masc	Dat	3.9596613703	mm	Masc	Pl	Length	4.8946184125	Card	2	4	http://www.modellversium.de/galerie/9-flugzeuge-ww2/8742-focke-wulf-fw-190-d-9-revell.html	4959
Einer Anregung von Jim Schubert ( 2 ) folgend , habe ich den Rumpfrücken mit 0,1	mm dünnem Plastik	Sheet beplankt , in das von innen drei Stringer-Linien eingerillt worden sind ( siehe Foto ) .	False	Plastik	Neut	Dat	3.9275551299	mm	Masc	Pl	Length	4.8946184125	Card	4	3	http://www.pmcl.de/mitgliedermodelle_Ryan%20NYP.html	5335
Die Verkleidung entstand nach dem Einkleben , Verschleifen und Polieren des Fensters neu aus 0,1	mm starkem Plastik	.	False	Plastik	Neut	Dat	3.9275551299	mm	Masc	Pl	Length	4.8946184125	Card	1	2	http://www.modellversium.de/galerie/18-flugzeuge-zivil/2498-ryan-nyp-revell.html	5361
Deshalb habe ich die vorhandenen entfernt und aus 0,125	mm dickem Plastik	neu aufgebaut - als Vorbild dienten neben Originalphotos die Zeichnungen im Profile Morskie über die Astoria .	False	Plastik	Neut	Dat	3.9275551299	mm	Masc	Pl	Length	4.8946184125	Card	2	4	http://www.modellversium.de/galerie/5-schiffe-ww2/4124-uss-vincennes-ca-44-wsw-modellbau.html	5360
Bei HIV-positiven Patienten schwankten die Konzentrationen im Plasma bei Einnahme von dreimal täglich 800 mg im Mittel zwischen 7,9 und 0,14	mg l. Fett	- und proteinreiche Mahlzeiten verringern die Resorption beträchtlich , während durch leichte Mahlzeiten kaum eine Veränderung erfolgt .	Dat	Fett	Neut	?	4.2780810669	mg	Neut	Pl	Weight	4.2765950593	Card	2	5	http://www.zct-berlin.de/neueinfuehrungen/indinavir.html	1978
Ferner wurden alle Griffe aus 0,15	mm starkem Draht	ersetzt .	False	Draht	Masc	Dat	3.9596613703	mm	Masc	Pl	Length	4.8946184125	Card	6	5	http://www.modellversium.de/galerie/22-militaer-fahrzeuge/9248-challenger-1-revell.html	4955
In Gebhards Montagehalle surren zwei 400 000 Euro teure Maschinen und wickeln mit 19 000 Umdrehungen pro Minute 0,15	Millimeter feinen Draht	auf die Spulen .	False	Draht	Masc	Acc	3.9596613703	Millimeter	Masc	Pl	Length	3.9245273835	Card	6	2	http://www.brandeins.de/archiv/2007/zu-viel/auf-einem-bein-kann-man-gut-stehen.html	5028
Wer nicht so auf Fruchtfleisch steht presst die Äpfel und Orangen aus oder nimmt jeweils 0,20	l fertigen Saft	.	Acc	Saft	Masc	Acc	3.9998870688	l	Masc	Pl	Capacity	4.6480202501	Card	5	1	http://www.slut-magazin.de/Ausgabe200610.php	470
Walisisches Rezept : Welsh Rarebit 300 g Cheddarkäse 0,2	l helles Bier	1 EL mittelscharfer Senf 8 Scheiben Toastbrot Pfeffer Den Käse zerkleinern und zusammen mit dem Bier , dem Senf und dem Pfeffer bei milder Hitze in einem kleinen Topf unter Rühren schmelzen lassen .	Nom	Bier	Neut	Nomacc	4.6061749187	l	Masc	Pl	Capacity	4.6480202501	Card	6	3	http://niklassolar.ni.funpic.de/wm/guestbook.php	2613
Für die Herstellung von Niedergängen benutze ich einen kleinen Fräser der ungefähr das Aussehen eines Zahnrads hat und 0,2	mm starkes Plastik	.	False	Plastik	Neut	Nomacc	3.9275551299	mm	Masc	Pl	Length	4.8946184125	Card	3	2	http://www.modellversium.de/galerie/5-schiffe-ww2/2425-uss-saratoga-cv-3-neptun.html	5315
0.3	Liter Schwarzen Kaffee	!	Nom	Kaffee	Masc	Acc	4.6228603193	Liter	Masc	Pl	Capacity	4.5919990046	Card	7	3	http://www.ussmirage.de/Spiel/Miss_M02/kap07.php	2387
Schlüpfende Bienen haben kein Gift ; am meisten haben die 15 - 20 Tage alten ( 0,3	mg flüssiges Gift	Err:508	Nom	Gift	Neut	Nomacc	4.0022179147	mg	Neut	Pl	Weight	4.2765950593	Card	2	4	http://www.taurachsoft.at/bienenmarken/gastbeitrag/imkerphilatelie_teil_17.html	4825
Sicher abschätzen ob der Eingriff wirklich nötig ist Bei der intrakoronaren Druckmessung wird durch einen Herzkatheter ein nur ca. 0,3	Millimeter dünner Draht	in das verengte Blutgefäß geschoben .	False	Draht	Masc	Nom	3.9596613703	Millimeter	Masc	Pl	Length	3.9245273835	Card	6	6	http://www.pm.ruhr-uni-bochum.de/pm2004/msg00361.htm	4953
Die Messung erfolgt über einen 0,3	Millimeter dünnen Draht	, der über einen Katheter bis in die verengten Gefäße vorgeschoben wird und misst , wie viel Blut das Gefäß durchströmt .	False	Draht	Masc	Acc	3.9596613703	Millimeter	Masc	Pl	Length	3.9245273835	Card	1	7	http://www.mineralogie.ruhr-uni-bochum.de/pm2005/msg00377.htm	5008
Benjamin Schwabe zu den Herausforderungen bei diesen beiden Anlagen : " Das 0,3	mm dünne Aluminium	ist weich wie Kaugummi - schon bei kleinsten Störungen im Ablauf würden Wellen oder Falten entstehen .	Nom	Aluminium	Neut	?	3.8749570202	mm	Masc	Pl	Length	4.8946184125	Card	4	2	http://www.blechrohreprofile.de/bl-03-2009/artikel_-schallgrenze-ueberwunden-_3113_4_96_de.html	5495
Kaum jemand weiß , dass ein Mensch während acht Stunden Schlaf bis zu 0,3	Liter feuchte Luft	produziert , Zimmerpflanzen bis zum doppelten und Wäsche , die zum Trocknen aufgehängt ist sogar über drei Liter .	Acc	Luft	Fem	Str	4.96865103	Liter	Masc	Pl	Capacity	4.5919990046	Card	4	4	http://www.teckbote.de/sonderthemen/bauen-wohnen_artikel,-Kleines-Geraet-ueberwacht-die-RaumluftSchimmelschaeden-durch-Klimawaechter-vorbeugen-_arid,1273_thwb,5.html	5986
Für die innere Anwendung beträgt die Tageshöchstdosis 4 bis 6 Gramm Droge bzw. 0,1 bis 0,3	Gramm ätherisches Öl	bzw. 2,5 bis 7,5 Gramm Tinktur bzw. 1,5 bis 3 Gramm Fluidextrakt .	Acc	Öl	Neut	Nomacc	4.6270400135	Gramm	Neut	Pl	Weight	4.1892825213	Card	3	6	http://www.pta-aktuell.de/praxis/news/7305-Pflanze-mit-langer-Tradition-Salbei/	6528
der Pauschaltrip ab Köln incl. Halbpension und Doppelzimmer zur Alleinbenutzung war für 352 € zu haben , ausgaben vor ort z. B. 1 Lev ( 50 Cent ) für 0,33	l bulgarisches Bier	( Kamenitza , Burgasko ) , schmeckt den tschechischen Pilsen sehr ähnlich .	Acc	Bier	Neut	Nomacc	4.6061749187	l	Masc	Pl	Capacity	4.6480202501	Card	6	1	http://www.hobby-barfuss.de/best_of/urlb_38.htm	2610
